,UTC,Local,Radiation,AirTemp,RelativeHumidity,SurfacePressure,WindDirection10m,WindSpeed10m,Day,Month,Year,Timestamp
0,2021-03-29T17:00:00,2021-03-30T00:00:00,0.0,26.6,72,1004.0,168,4.9139075,30,3,2021,0
1,2021-03-29T18:00:00,2021-03-30T01:00:00,0.0,26.4,74,1003.5,162,4.9783735,30,3,2021,3600
2,2021-03-29T19:00:00,2021-03-30T02:00:00,0.0,26.1,76,1003.0,161,4.519245,30,3,2021,7200
3,2021-03-29T20:00:00,2021-03-30T03:00:00,0.0,25.9,78,1003.0,160,3.7936718,30,3,2021,10800
4,2021-03-29T21:00:00,2021-03-30T04:00:00,0.0,25.6,79,1003.5,156,3.289019,30,3,2021,14400
5,2021-03-29T22:00:00,2021-03-30T05:00:00,0.0,25.3,81,1003.5,146,3.0633607,30,3,2021,18000
6,2021-03-29T23:00:00,2021-03-30T06:00:00,8.18975,25.1,83,1004.0,136,2.2177045,30,3,2021,21600
7,2021-03-30T00:00:00,2021-03-30T07:00:00,229.18352,26.5,75,1005.0,136,2.8826067,30,3,2021,25200
8,2021-03-30T01:00:00,2021-03-30T08:00:00,491.06732,28.7,62,1005.5,140,3.3857353,30,3,2021,28800
9,2021-03-30T02:00:00,2021-03-30T09:00:00,730.37476,30.8,51,1006.0,147,3.363641,30,3,2021,32400
10,2021-03-30T03:00:00,2021-03-30T10:00:00,919.964,32.7,42,1005.5,175,2.9890509,30,3,2021,36000
11,2021-03-30T04:00:00,2021-03-30T11:00:00,1039.4053,34.5,37,1005.0,194,3.359405,30,3,2021,39600
12,2021-03-30T05:00:00,2021-03-30T12:00:00,1078.4194,35.9,34,1004.0,209,3.534674,30,3,2021,43200
13,2021-03-30T06:00:00,2021-03-30T13:00:00,992.8523,36.9,31,1002.5,220,3.68366,30,3,2021,46800
14,2021-03-30T07:00:00,2021-03-30T14:00:00,907.65845,37.8,29,1000.5,226,4.1809144,30,3,2021,50400
15,2021-03-30T08:00:00,2021-03-30T15:00:00,713.3365,38.2,28,999.5,202,4.5640597,30,3,2021,54000
16,2021-03-30T09:00:00,2021-03-30T16:00:00,472.84512,37.2,30,999.0,168,6.428899,30,3,2021,57600
17,2021-03-30T10:00:00,2021-03-30T17:00:00,210.74721,34.0,39,999.5,158,8.225105,30,3,2021,61200
18,2021-03-30T11:00:00,2021-03-30T18:00:00,1.6299784,30.5,49,1000.5,157,7.4487724,30,3,2021,64800
19,2021-03-30T12:00:00,2021-03-30T19:00:00,0.0,28.4,59,1002.0,151,6.754827,30,3,2021,68400
20,2021-03-30T13:00:00,2021-03-30T20:00:00,0.0,27.7,64,1003.0,152,5.522787,30,3,2021,72000
21,2021-03-30T14:00:00,2021-03-30T21:00:00,0.0,27.3,68,1003.5,164,5.0807834,30,3,2021,75600
22,2021-03-30T15:00:00,2021-03-30T22:00:00,0.0,27.1,70,1004.5,168,5.009315,30,3,2021,79200
23,2021-03-30T16:00:00,2021-03-30T23:00:00,0.0,27.0,71,1004.5,171,3.965738,30,3,2021,82800
24,2021-03-30T17:00:00,2021-03-31T00:00:00,0.0,26.7,72,1004.0,175,3.695191,31,3,2021,0
25,2021-03-30T18:00:00,2021-03-31T01:00:00,0.0,26.4,73,1003.5,175,3.5633335,31,3,2021,3600
26,2021-03-30T19:00:00,2021-03-31T02:00:00,0.0,26.1,74,1003.0,177,3.0108674,31,3,2021,7200
27,2021-03-30T20:00:00,2021-03-31T03:00:00,0.0,25.8,75,1002.5,182,2.5022755,31,3,2021,10800
28,2021-03-30T21:00:00,2021-03-31T04:00:00,0.0,25.6,75,1002.5,158,2.2308233,31,3,2021,14400
29,2021-03-30T22:00:00,2021-03-31T05:00:00,0.0,25.3,77,1003.0,146,2.376834,31,3,2021,18000
30,2021-03-30T23:00:00,2021-03-31T06:00:00,5.1673164,25.0,80,1004.0,139,2.3391435,31,3,2021,21600
31,2021-03-31T00:00:00,2021-03-31T07:00:00,63.7215,26.5,73,1004.5,138,2.6403682,31,3,2021,25200
32,2021-03-31T01:00:00,2021-03-31T08:00:00,147.95108,28.7,58,1005.5,153,2.7380342,31,3,2021,28800
33,2021-03-31T02:00:00,2021-03-31T09:00:00,464.35535,30.9,47,1005.5,169,2.9156241,31,3,2021,32400
34,2021-03-31T03:00:00,2021-03-31T10:00:00,919.25055,32.8,40,1005.0,190,3.086651,31,3,2021,36000
35,2021-03-31T04:00:00,2021-03-31T11:00:00,1040.2306,34.6,36,1004.0,211,3.2646701,31,3,2021,39600
36,2021-03-31T05:00:00,2021-03-31T12:00:00,1078.7595,36.0,33,1002.5,215,3.474745,31,3,2021,43200
37,2021-03-31T06:00:00,2021-03-31T13:00:00,1033.3809,37.1,30,1000.5,210,3.4763572,31,3,2021,46800
38,2021-03-31T07:00:00,2021-03-31T14:00:00,908.1943,37.8,28,999.5,204,3.3002872,31,3,2021,50400
39,2021-03-31T08:00:00,2021-03-31T15:00:00,711.7047,38.2,27,998.0,199,3.063398,31,3,2021,54000
40,2021-03-31T09:00:00,2021-03-31T16:00:00,447.20688,38.2,26,997.5,181,3.815435,31,3,2021,57600
41,2021-03-31T10:00:00,2021-03-31T17:00:00,52.63,36.5,31,997.5,167,6.541285,31,3,2021,61200
42,2021-03-31T11:00:00,2021-03-31T18:00:00,0.405,30.5,50,998.5,163,7.761778,31,3,2021,64800
43,2021-03-31T12:00:00,2021-03-31T19:00:00,0.0,28.4,60,1000.0,158,7.4662786,31,3,2021,68400
44,2021-03-31T13:00:00,2021-03-31T20:00:00,0.0,27.8,64,1002.0,164,6.1568484,31,3,2021,72000
45,2021-03-31T14:00:00,2021-03-31T21:00:00,0.0,27.5,66,1002.5,157,5.956286,31,3,2021,75600
46,2021-03-31T15:00:00,2021-03-31T22:00:00,0.0,27.3,68,1003.0,158,5.450757,31,3,2021,79200
47,2021-03-31T16:00:00,2021-03-31T23:00:00,0.0,27.9,66,1003.5,149,5.14433,31,3,2021,82800
48,2021-03-31T17:00:00,2021-04-01T00:00:00,0.0,27.5,68,1003.5,158,4.79471,1,4,2021,0
49,2021-03-31T18:00:00,2021-04-01T01:00:00,0.0,27.3,69,1003.0,167,4.4099,1,4,2021,3600
50,2021-03-31T19:00:00,2021-04-01T02:00:00,0.0,26.9,70,1002.5,164,3.96336,1,4,2021,7200
51,2021-03-31T20:00:00,2021-04-01T03:00:00,0.0,26.7,73,1002.5,152,3.27746,1,4,2021,10800
52,2021-03-31T21:00:00,2021-04-01T04:00:00,0.0,26.3,75,1003.0,140,3.49755,1,4,2021,14400
53,2021-03-31T22:00:00,2021-04-01T05:00:00,0.0,25.9,77,1003.5,147,3.0033,1,4,2021,18000
54,2021-03-31T23:00:00,2021-04-01T06:00:00,3.18074,25.8,78,1004.0,142,3.07332,1,4,2021,21600
55,2021-04-01T00:00:00,2021-04-01T07:00:00,58.47,27.2,72,1005.0,154,3.60013,1,4,2021,25200
56,2021-04-01T01:00:00,2021-04-01T08:00:00,123.915,29.2,62,1006.0,167,3.50249,1,4,2021,28800
57,2021-04-01T02:00:00,2021-04-01T09:00:00,183.64,31.0,54,1006.0,175,3.35767,1,4,2021,32400
58,2021-04-01T03:00:00,2021-04-01T10:00:00,230.63,32.9,47,1005.5,186,3.26513,1,4,2021,36000
59,2021-04-01T04:00:00,2021-04-01T11:00:00,286.476,34.7,41,1004.5,195,3.35826,1,4,2021,39600
60,2021-04-01T05:00:00,2021-04-01T12:00:00,666.892,36.1,37,1003.0,207,3.51662,1,4,2021,43200
61,2021-04-01T06:00:00,2021-04-01T13:00:00,998.94,37.4,33,1001.5,212,3.5198,1,4,2021,46800
62,2021-04-01T07:00:00,2021-04-01T14:00:00,733.401,38.3,30,1000.0,212,3.54692,1,4,2021,50400
63,2021-04-01T08:00:00,2021-04-01T15:00:00,539.024,38.3,29,998.5,222,2.70612,1,4,2021,54000
64,2021-04-01T09:00:00,2021-04-01T16:00:00,141.527,37.8,29,998.0,155,0.551294,1,4,2021,57600
65,2021-04-01T10:00:00,2021-04-01T17:00:00,52.575,34.9,38,998.5,140,4.57733,1,4,2021,61200
66,2021-04-01T11:00:00,2021-04-01T18:00:00,0.405,31.3,51,999.5,161,6.96762,1,4,2021,64800
67,2021-04-01T12:00:00,2021-04-01T19:00:00,0.0,28.5,62,1001.5,157,7.66247,1,4,2021,68400
68,2021-04-01T13:00:00,2021-04-01T20:00:00,0.0,27.7,67,1003.0,162,6.97681,1,4,2021,72000
69,2021-04-01T14:00:00,2021-04-01T21:00:00,0.0,27.7,67,1003.5,153,6.1896,1,4,2021,75600
70,2021-04-01T15:00:00,2021-04-01T22:00:00,0.0,27.8,67,1004.0,155,5.31606,1,4,2021,79200
71,2021-04-01T16:00:00,2021-04-01T23:00:00,0.0,27.6,67,1004.5,154,5.02219,1,4,2021,82800
72,2021-04-01T17:00:00,2021-04-02T00:00:00,0.0,27.7,65,1004.5,156,4.4616,2,4,2021,0
