,UTC,Local,Radiation,AirTemp,RelativeHumidity,SurfacePressure,WindDirection10m,WindSpeed10m,Day,Month,Year,Timestamp
0,2021-04-14T16:00:00,2021-04-14T23:00:00,0.0,28.0,71,1008.0,172,3.09145,14,4,2021,82800
1,2021-04-14T17:00:00,2021-04-15T00:00:00,0.0,27.4,73,1008.0,195,2.23253,15,4,2021,0
2,2021-04-14T18:00:00,2021-04-15T01:00:00,0.0,27.4,72,1007.5,193,2.28201,15,4,2021,3600
3,2021-04-14T19:00:00,2021-04-15T02:00:00,0.0,27.3,73,1007.0,187,2.35194,15,4,2021,7200
4,2021-04-14T20:00:00,2021-04-15T03:00:00,0.0,27.1,74,1006.5,192,2.08906,15,4,2021,10800
5,2021-04-14T21:00:00,2021-04-15T04:00:00,0.0,26.9,76,1006.5,191,2.0349,15,4,2021,14400
6,2021-04-14T22:00:00,2021-04-15T05:00:00,0.0,26.6,77,1007.0,174,2.18906,15,4,2021,18000
7,2021-04-14T23:00:00,2021-04-15T06:00:00,30.2832,26.6,78,1007.5,151,2.17442,15,4,2021,21600
8,2021-04-15T00:00:00,2021-04-15T07:00:00,174.459,27.9,71,1008.5,158,2.29185,15,4,2021,25200
9,2021-04-15T01:00:00,2021-04-15T08:00:00,514.697,29.4,64,1009.0,157,2.46083,15,4,2021,28800
10,2021-04-15T02:00:00,2021-04-15T09:00:00,745.233,30.8,58,1009.0,160,2.45634,15,4,2021,32400
11,2021-04-15T03:00:00,2021-04-15T10:00:00,862.325,32.6,51,1008.5,186,2.21095,15,4,2021,36000
12,2021-04-15T04:00:00,2021-04-15T11:00:00,261.17,34.0,46,1007.5,215,2.52952,15,4,2021,39600
13,2021-04-15T05:00:00,2021-04-15T12:00:00,296.33,34.3,45,1006.5,234,3.29421,15,4,2021,43200
14,2021-04-15T06:00:00,2021-04-15T13:00:00,467.932,33.6,46,1005.5,243,3.39832,15,4,2021,46800
15,2021-04-15T07:00:00,2021-04-15T14:00:00,688.574,34.5,43,1004.5,254,1.96147,15,4,2021,50400
16,2021-04-15T08:00:00,2021-04-15T15:00:00,562.822,35.2,40,1003.5,238,0.979106,15,4,2021,54000
17,2021-04-15T09:00:00,2021-04-15T16:00:00,202.389,34.8,42,1003.0,186,1.28205,15,4,2021,57600
18,2021-04-15T10:00:00,2021-04-15T17:00:00,51.765,33.3,48,1003.5,174,3.03327,15,4,2021,61200
19,2021-04-15T11:00:00,2021-04-15T18:00:00,0.605477,30.3,62,1004.5,180,4.77734,15,4,2021,64800
20,2021-04-15T12:00:00,2021-04-15T19:00:00,0.0,29.1,67,1005.0,157,5.08479,15,4,2021,68400
21,2021-04-15T13:00:00,2021-04-15T20:00:00,0.0,28.4,70,1006.0,146,5.37052,15,4,2021,72000
22,2021-04-15T14:00:00,2021-04-15T21:00:00,0.0,28.1,71,1007.0,149,5.06529,15,4,2021,75600
23,2021-04-15T15:00:00,2021-04-15T22:00:00,0.0,27.5,75,1007.5,150,4.61741,15,4,2021,79200
24,2021-04-15T16:00:00,2021-04-15T23:00:00,0.0,27.7,75,1007.5,152,4.03918,15,4,2021,82800
25,2021-04-15T17:00:00,2021-04-16T00:00:00,0.0,27.5,76,1007.5,153,4.12209,16,4,2021,0
26,2021-04-15T18:00:00,2021-04-16T01:00:00,0.0,27.0,78,1006.5,174,4.54464,16,4,2021,3600
27,2021-04-15T19:00:00,2021-04-16T02:00:00,0.0,27.0,76,1006.0,172,3.68955,16,4,2021,7200
28,2021-04-15T20:00:00,2021-04-16T03:00:00,0.0,26.9,77,1006.0,150,3.33436,16,4,2021,10800
29,2021-04-15T21:00:00,2021-04-16T04:00:00,0.0,26.8,78,1006.5,147,3.31902,16,4,2021,14400
30,2021-04-15T22:00:00,2021-04-16T05:00:00,0.0,26.0,81,1007.0,149,3.29872,16,4,2021,18000
31,2021-04-15T23:00:00,2021-04-16T06:00:00,9.36237,25.8,83,1007.5,158,2.77202,16,4,2021,21600
32,2021-04-16T00:00:00,2021-04-16T07:00:00,72.847,27.5,73,1008.5,162,3.40381,16,4,2021,25200
33,2021-04-16T01:00:00,2021-04-16T08:00:00,296.634,29.3,63,1009.5,164,3.91885,16,4,2021,28800
34,2021-04-16T02:00:00,2021-04-16T09:00:00,278.831,30.6,58,1009.5,171,3.68542,16,4,2021,32400
35,2021-04-16T03:00:00,2021-04-16T10:00:00,879.815,31.8,53,1009.0,184,3.15002,16,4,2021,36000
36,2021-04-16T04:00:00,2021-04-16T11:00:00,362.649,32.8,50,1008.5,195,3.13309,16,4,2021,39600
37,2021-04-16T05:00:00,2021-04-16T12:00:00,269.062,33.0,49,1007.5,213,2.66935,16,4,2021,43200
38,2021-04-16T06:00:00,2021-04-16T13:00:00,546.71,32.4,50,1006.5,195,1.80943,16,4,2021,46800
39,2021-04-16T07:00:00,2021-04-16T14:00:00,269.248,32.8,49,1005.5,202,2.06281,16,4,2021,50400
40,2021-04-16T08:00:00,2021-04-16T15:00:00,176.152,32.2,51,1005.0,205,1.88277,16,4,2021,54000
41,2021-04-16T09:00:00,2021-04-16T16:00:00,116.14,31.3,56,1005.0,199,2.68049,16,4,2021,57600
42,2021-04-16T10:00:00,2021-04-16T17:00:00,187.776,30.4,60,1004.5,204,3.69982,16,4,2021,61200
43,2021-04-16T11:00:00,2021-04-16T18:00:00,0.48,29.7,63,1005.5,173,3.31752,16,4,2021,64800
44,2021-04-16T12:00:00,2021-04-16T19:00:00,0.0,28.5,67,1006.5,155,4.91393,16,4,2021,68400
45,2021-04-16T13:00:00,2021-04-16T20:00:00,0.0,27.2,73,1007.5,145,4.65442,16,4,2021,72000
46,2021-04-16T14:00:00,2021-04-16T21:00:00,0.0,27.2,76,1008.5,142,4.15116,16,4,2021,75600
47,2021-04-16T15:00:00,2021-04-16T22:00:00,0.0,26.9,78,1009.0,133,3.83301,16,4,2021,79200
48,2021-04-16T16:00:00,2021-04-16T23:00:00,0.0,25.9,82,1009.0,137,3.08933,16,4,2021,82800
49,2021-04-16T17:00:00,2021-04-17T00:00:00,0.0,25.5,85,1008.5,158,2.73467,17,4,2021,0
50,2021-04-16T18:00:00,2021-04-17T01:00:00,0.0,25.8,83,1007.5,174,3.24202,17,4,2021,3600
51,2021-04-16T19:00:00,2021-04-17T02:00:00,0.0,25.8,83,1007.0,166,3.53193,17,4,2021,7200
52,2021-04-16T20:00:00,2021-04-17T03:00:00,0.0,25.5,84,1007.5,155,3.70289,17,4,2021,10800
53,2021-04-16T21:00:00,2021-04-17T04:00:00,0.0,25.3,85,1008.0,138,3.46561,17,4,2021,14400
54,2021-04-16T22:00:00,2021-04-17T05:00:00,0.0,24.5,87,1008.5,133,3.11622,17,4,2021,18000
55,2021-04-16T23:00:00,2021-04-17T06:00:00,33.0671,24.7,87,1009.0,133,2.91671,17,4,2021,21600
56,2021-04-17T00:00:00,2021-04-17T07:00:00,249.954,26.7,78,1010.0,139,3.66349,17,4,2021,25200
57,2021-04-17T01:00:00,2021-04-17T08:00:00,523.127,28.1,71,1011.0,139,3.75535,17,4,2021,28800
58,2021-04-17T02:00:00,2021-04-17T09:00:00,736.789,29.4,64,1011.0,144,3.17966,17,4,2021,32400
59,2021-04-17T03:00:00,2021-04-17T10:00:00,279.944,30.6,59,1010.5,152,2.64856,17,4,2021,36000
60,2021-04-17T04:00:00,2021-04-17T11:00:00,261.07,31.9,53,1009.5,157,1.89922,17,4,2021,39600
61,2021-04-17T05:00:00,2021-04-17T12:00:00,268.913,32.2,51,1008.5,180,1.45708,17,4,2021,43200
62,2021-04-17T06:00:00,2021-04-17T13:00:00,256.28,31.7,52,1007.5,216,1.91752,17,4,2021,46800
63,2021-04-17T07:00:00,2021-04-17T14:00:00,224.31,31.3,54,1006.5,219,2.5014,17,4,2021,50400
64,2021-04-17T08:00:00,2021-04-17T15:00:00,175.955,30.9,56,1006.5,201,2.38124,17,4,2021,54000
65,2021-04-17T09:00:00,2021-04-17T16:00:00,379.288,30.5,57,1006.0,198,2.58852,17,4,2021,57600
66,2021-04-17T10:00:00,2021-04-17T17:00:00,166.96,30.6,58,1006.0,210,4.32065,17,4,2021,61200
67,2021-04-17T11:00:00,2021-04-17T18:00:00,1.11974,29.4,63,1007.0,170,3.53342,17,4,2021,64800
68,2021-04-17T12:00:00,2021-04-17T19:00:00,0.0,27.8,67,1008.0,146,4.60178,17,4,2021,68400
69,2021-04-17T13:00:00,2021-04-17T20:00:00,0.0,26.9,67,1009.0,142,4.53768,17,4,2021,72000
70,2021-04-17T14:00:00,2021-04-17T21:00:00,0.0,26.8,65,1010.0,137,4.006,17,4,2021,75600
71,2021-04-17T15:00:00,2021-04-17T22:00:00,0.0,26.4,66,1010.0,146,3.46094,17,4,2021,79200
